Product,Issue,Sub-issue,Consumer complaint narrative
Debt collection,False statements or representation,Attempted to collect wrong amount,
Credit card,Closing your account,Can't close your account,"In the process of rebuilding my credit, I got a secured credit card through XXXX XXXX with an address of XXXX XXXX XXXX, XXXX XXXX, TN, XXXX. From the very beginning, it was a disaster. My card continuously was compromised ( XXXX ), and I was continuously having to file disputes for companies that I had already told them were making fraudulent charges on my card, not to allow them to do it anymore. The fraud continued to happen. At that time I was done and I was frustrated and when I would call and speak to a representative a lot of times they were rude, short tempered, accused you of not knowing basic math, and they had no customer service whatsoever. That did nothing to try to keep me either. On XX/XX/XXXX at XXXX for XXXX mins when I called to cancel my acct. I was told by a supervisor that she would allow that to happen b/c all of the disputes have been taken care of and finalized at that point which left me with a refund of $ XXXX {$150.00}. The account was closed with a refund due of $ XXXX {$150.00} and my question to her was I have XXXX merchant that is refunding a phone case that I have returned. What about the {$87.00} that Im due as a credit since the card is closed. I was told that XXXX checks would arrive. The security deposit refund could take up to XXXX weeks. I recd the {$87.00} separately b/c it would be coming from a different dept. I still have not recd the initial security deposit refund that multiple supervisors have stated I am due. I was told that as recently as XX/XX/XXXX at XXXX to expect my security deposit refund soon because that came from a different department. Today, XX/XX/XXXX I spoke to a different supervisor named XXXX. He confirmed that I am still owe the $ XXXX {$150.00} security deposit refund. He placed me on hold and he returned and then said matter fact, youre not doing any more refunds from us. So I would say about XXXX  % of the supervisors see that XXXX due this refund in about XXXX  % of the supervisors that I speak with do not see that Im owed this refund. This company is completely unethical and does not know the definition of Customer Service whatsoever depending on who you talk to depends on the answer that you get, but Im still waiting more than XXXX weeks later for my refund for my security deposit and the amount of $ XXXX {$150.00}. If the bank determines that there is not a refund due, I would like for them to provide me with the documentation showing specifically how they got to that conclusion where 70 % of the other supervisors have concluded otherwise. XXXX is to escalate for me to upper management that they review the call from XX/XX/XXXX of XXXX. When I canceled my account it was promised the refunds in XXXX separate checks. I was guaranteed that within XXXX to XXXX  days a XXXX will be calling me to discuss with me my concerns but not necessarily the outcome of what they heard from that call on XX/XX/XXXX. I am no full as Ive worked in law before and they are required to maintain all records financially for XXXX years, who I speak with when I speak to them and what we speak about I want to have that information. It is that information that holds the answer and the truth that Im owed this refund but they are withholding that from me."
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Took or threatened to take negative or legal action,Sued you in a state where you do not live or did not sign for the debt,"I am writing to formally address my ongoing dispute with AllianceOne Receivables Management Inc. regarding an alleged debt of {$3300.00} that they claim I owe. Despite my repeated requests for debt validation, I have yet to receive any documentation to substantiate this claim. 

On XX/XX/year>, I sent a debt validation letter to AllianceOne, clearly outlining my request for proof of the alleged debt. As per the Fair Debt Collection Practices Act, I understand that I am entitled to this documentation, and it is unacceptable that they have not responded with any supporting evidence. 

The lack of communication and failure to provide the requested validation not only raises serious concerns about the legitimacy of this debt but also reflects poorly on the company 's business practices. I believe that they are attempting to collect a debt without the necessary legal backing, which is both unethical and frustrating. 

As of today, I am not inclined to pay this amount until I receive the proper documentation that confirms I owe this debt. I request your assistance in resolving this matter and urge you to hold AllianceOne accountable for their lack of responsiveness and transparency."
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"I understand the importance of removing any incorrect accounts from my credit report in accordance with FCRA 605B. Could you please take a look at the documents? I've observed that some of the listed accounts seem to be inaccurate, which is worrying to me."
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Credit card,Incorrect information on your report,Account status incorrect,
Credit card,Incorrect information on your report,Account status incorrect,
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,Could you please take a moment to review and examine the attached documents? I believe your expertise will be invaluable in ensuring their accuracy and completeness. Your feedback and insights would be greatly appreciated. Thank you for your time and consideration in this matter.
Debt collection,Written notification about debt,Didn't receive notice of right to dispute,
Vehicle loan or lease,Managing the loan or lease,Billing problem,"I called XXXX ( institution where car was purchased ) and requested the extended warranty be cancelled since I had never used it. The total value of the warranty was 2 more years at {$820.00} which I requested to be applied to my ALLY account as a payment. XXXX then sent the funds over to ALLY the same day and they were in fact applied as a payment on XX/XX/XXXX for the monthly installment date of XX/XX/XXXX, which covered the payment for the month of XXXX. 

The website showed the next payment was due XX/XX/XXXX in the amount of {$140.00}. I checked my account as recently as Saturday XXXX XXXX2024 and the money transferred from XXXX was still applied as a monthly payment. ALLY decided more than 2 weeks from XXXX XXXX,2024 to then decide to reallocate the funds and remove it as a car payment and only apply it to reduce the total amount of the loan, however everytime I make a monthly payment it reduces the amount of the loan. 

They decided to once again use predatory lending practices to try and put my account into default so they can repossess my vehicle. This has been an ongoing issue and I am not the only ALLY customer who is experiencing these predatory lending practices but I may be one of the few who actually screenshot every payment and always screenshot the status of my account due to my XXXX and distrust of the company. They stated they will file an application to reallocate the funds but I dont believe them ( case # XXXX ). 

They still have YET to review the call from my previous complaint dated XXXX XXXX2024. They keep telling me a supervisor will reach out in the hopes that I forget about it but I wont and hope someone will intervene on my behalf as a consumer. They are violating my consumer rights and using predatory lending with their customers."
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Credit card,Incorrect information on your report,Account status incorrect,
"Payday loan, title loan, personal loan, or advance loan",Problem with the payoff process at the end of the loan,None,"Describe what happened : On XX/XX/year>, I took out a personal loan with SoFi Bank, N.A., as outlined in the attached Truth in Lending Act Disclosure and Loan Agreement. As part of the loan, SoFi was responsible for disbursing {$11000.00} to pay off a specified credit card account. However, due to an error, the funds were directed to an incorrect account, identified as a XXXX XXXX credit card instead of the intended XXXX XXXX credit card. 

Timeline of events : XXXXXXXX XXXX XXXX  : I signed the loan agreement with SoFi, which included specific instructions to allocate {$11000.00} to the XXXX XXXX credit card account. Instead, SoFi 's records incorrectly identified this account as a XXXX XXXX credit card. 

XXXX XXXX XXXX : Upon reviewing the documentation and recognizing the error, I contacted SoFis customer service immediately to rectify the issue. I informed them that the funds needed to be directed to the correct XXXX XXXX credit card account instead of the XXXX XXXX account. 

XXXXResponse from SoFi : I was told by SoFi representatives that no corrective action could be taken until two weeks had passed. Despite my immediate efforts to clarify the situation, SoFi failed to address the matter promptly. 

XXXXSubsequent Follow-Up : Over the next several weeks and months, I followed up with SoFi to resolve the issue and confirm the funds were correctly redirected to the XXXX XXXX credit card account. However, no corrective action was taken, and to date, the intended recipient, the XXXX XXXX credit card issuer, has not received the funds. 

Actions I took : XXXXContacted SoFis customer service the following business day to report the error and request immediate action to resolve it. 

XXXXFollowed up with SoFi multiple times in the weeks following to demand clarification and a resolution. 

XXXXVerified with the XXXX XXXX credit card issuer that the payment was not received. 

Impact of SoFis actions : SoFi 's delay and lack of resolution have caused significant financial inconvenience and potential damage to my credit standing. Despite my proactive efforts to address the issue immediately after it was identified, SoFi has not fulfilled their contractual obligation to disburse the funds correctly or within a reasonable timeframe. 

I am seeking CFPB 's assistance in holding SoFi accountable for their failure to resolve this issue promptly and in ensuring that the funds are disbursed to the correct account."
Debt collection,Attempts to collect debt not owed,Debt is not yours,"NCB MANAGEMENT SERVICE XXXX XXXX XXXX XXXX, PA XXXX NOTICE OF DISPUTE ; DEMAND FOR VALIDATION AND PROOF OF CLAIM To Whom it May Concern Your company is illegally trying to collect and is furnishing false items that violates my consumer rights and FDCPA and FCRA. Be advised that your claim is disputed. Debt validation has to be provided in accordance with the Fair Debt Collection Practices Act, 15 USC {$1600.00} and as amended by adding the following new Title 8 US {$800.00} et seq., and the Fair Credit Billing Act, 15 USC. {$1600.00} et seq. All of which work in conjunction with each other, including the Truth In Lending Act ( TILA ) 15 USC 1601 et seq. It is not now, nor has it ever been, my intention to avoid paying any alleged obligation that is lawfully owed by the Claimant. In order to make arrangements to pay an obligation which may be lawfully owed, please document and verify the "" debt '' by complying, in good faith, with this request for validation and return it to me, within thirty ( 30 ) days of receipt of this letter.

This is was NOT a request for "" verification '' or proof of Claimant mailing address or copies of bank statements you could find, but a request for VALIDATION and PROOF OF CLAIM made pursuant to the above named Titles and Sections. I respectfully request that your offices provide Claimant with competent evidence as per the attached "" Declaration and Proof of Claim '' that I have any legal obligation to pay you the unsubstantiated alleged debt. Furthermore you shall cease all verbal communication. No phone calls to the Claimant. At this time I will also inform you that if your offices have reported invalidated information to any of the 3 major Credit Bureaus, such as, XXXX, XXXX and XXXX prior to validation and proof of claim of the disputed debt, this action might constitute fraud under both Federal and State Laws. Due to this fact ; if any negative mark is found on any of Claimant credit reports by your company or the company that you represent I will not hesitate in bringing legal action against you and your client for the following : - Violation of the Fair Credit Reporting Act - Violation of the Fair Debt Collection Practices Act Defamation of Character - Violation of United States Code TITLE 18 PART 1 CHAPTER 63 1341 ( Mail Fraud ) This debt is considered to be invalid and all collection of this alleged account be stopped until I receive proper validation and your offices provide Claimant with proof of claim of the disputed debt. Your offices have 30 days to produce the required documentation in accordance with FTC guidelines. During this validation period and proof of claim, if any action is taken which could be considered detrimental to any of Claimant credit reports, said action will be considered a "" dishonor '' and cause the self-executing contract portion of this notice to be implemented. This includes any listing any information to a credit reporting repository that could be inaccurate or invalidated. If your offices fail to respond to this validation and proof of claim request within 30 days from the date of your receipt, all references to this account must be deleted and completely removed from Claimant credit file and a copy of such deletion request shall be sent to Claimant immediately. Title 8 USC {$800.00}. Validation of debts [ 15 USC 1692g ] ( b ) If the consumer notifies the debt collector in writing within the thirty-day period described in subsection ( a ) that the debt, or any portion thereof, is disputed, or that the consumer requests the name and address of the original creditor, the debt collector shall cease collection of the debt, or any disputed portion thereof, until the debt collector obtains verification of the debt or any copy of a judgment, or the name and address of the original creditor, and a copy of such verification or judgment, or name and address of the original creditor, is mailed to the consumer by the debt collector. XXXX XXXX XXXX XXXX : VERIFICATION. Confirmation of correctness, truth, or authenticity, by affidavit, oath, or deposition. RULING 1002 - Requirement of the original An original writing, recording, or photograph is required in order to prove its content unless these rules or a federal statute provides otherwise. Counter Claim with Self-executing Contract If Respondent, such as by commission, omission, and otherwise : ( a ) Fails to provide VALIDATION and PROOF OF CLAIM"
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Debt collection,Communication tactics,Frequent or repeated calls,Affirm is calling XXXX times a day which is in violation of FDCPA of harrassing phone calls to where I had to finally block them and call from different numbers
Credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I am writing to address an issue regarding the purchase of XXXX tickets from XXXX. I used my XXXX XXXX  and email on my phone for this transaction. The XXXX provided these tickets through a third party, and despite following their instructions, I was unable to retrieve the tickets via the application. 

I had also purchased refund insurance, which allows for cancellation at any time. Consequently, I contacted both the XXXX and XXXX  XXXX XXXX to request either an alternative method to receive the tickets or a refund. They provided instructions and a URL for the refund process, but I was unable to obtain the refund. 

Determined to attend the event, I purchased additional tickets. I continued to email both organizations, as neither website offers a support phone number. I have attached all related communications to this email. 

Subsequently, I requested a refund from my credit card company, which was approved and issued. During this period, my wife XXXX XXXX to our daughter and underwent XXXX, which occupied my attention. As a result, I missed the notification on the app. Additionally, when I registered with the online app, I was set to paperless, so I did not receive any letters by mail. 

I have contacted Citi multiple times regarding this matter. Each time, they open a case and provide the same update, stating that I am not eligible for a refund for the charge because I responded XXXX  days late to their notification to submit support documents and I had done that initially when I request the dispute as well."
Credit card,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,I am requesting your help to investigate such accounts from these companies that are reporting me inaccurately about the late payments. I have reviewed and checked my credit report and saw that these certain accounts have late payments which is not correct. THERE SHOULD NO LATE PAYMENT REMARKS ON THESE ACCOUNTS.
Vehicle loan or lease,Problems at the end of the loan or lease,Unable to receive car title or other problem after the loan is paid off,"Purchased car on XX/XX/XXXX through carvana waiting have been waiting in license plates and registration stickers, have called multiple times have been hung up on, have been placed in hold for 30 plus minutes only to be told to call XXXX, have called XXXX they have informed me that normally I should have received my plates at this time, on their website it says my paper was completed, was sent an email staying i would receive plates within 10 days after the fact."
Debt collection,Written notification about debt,Didn't receive enough information to verify debt,
Credit card,"Other features, terms, or problems",Other problem,
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Credit card,Fees or interest,Problem with fees,
Mortgage,Trouble during payment process,Payment process,
"Payday loan, title loan, personal loan, or advance loan",Charged fees or interest you didn't expect,None,"I made the decision to install solar on my home. XXXX XXXX did the install and were the processor of the application as well as the documents relating to the loan. Apart of the loan is the ability to apply the XXXX XXXX XXXX to the loan with in an appropriate period of time relating to the completion of the project. The installer and financial institution have the incorrect dates with the finished install as well do not want to abide by what their contract states as completed. This lack of proper processing and factual information not only cause the installer to be paid before they job was complete. I was required to start paying for the loan before I should have, I also am being denied my ability to have my re amortization of the loan as is in my contract."
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,"I have filed an FTC identity theft report ( XXXX ) I am writing yet again to dispute the sharing of my personal information in regards to acct # XXXX with XXXX XXXX XXXX, a collection agency, which violates both your stated Privacy Policy and the Privacy Act of 1974 ( 5 U.S.C. 552a ). Based on Capital Ones  policy, XXXX does not qualify as an affiliate, business partner, marketing partner, or service provider, nor does it fit any of the specified contexts under which Capital One is authorized to share customer information. 
Capital One NA sold my personal information including my social security number to XXXX XXXX XXXX. I did not give Capital One NA consent to share my personal information with non-affiliates, which XXXX XXXX XXXX or any of XXXX parent companies or subsidiaries. I have tried to dispute this on my credit report since I have never done business with XXXX and do not understand why they have my personal information. This is when I learned that Capital One has sold my information to XXXX and now XXXX states they have the right to collect on this previously charged off acct. Capital One did not have my consent to provide XXXX any of my information so this is considered fraud! FTC identity theft report ( XXXX ) Capital Ones Privacy Policy explicitly outlines the contexts in which customer information may be shared, including : Affiliates : XXXX is not part of the Capital One family of companies. 
Business or Marketing Partners : XXXX does not provide products, services, or marketing efforts for XXXX XXXX customers. 
Service Providers : There is no indication that XXXX performs any business operations on your behalf. 
Other Third Parties : I did not provide consent or authorization for my information to be shared with XXXX 
Credit Bureaus and Government Entities : XXXX does not fall into these categories. 
The Privacy Act of 1974 is meant to protect personal information from being shared without proper authorization. By sharing my data with XXXXa company I have no relationship withCapital One appears to have violated both its own Privacy Policy and federal law. 
I request a full investigation into this matter and a written explanation detailing : The specific provision in your Privacy Policy or the Privacy Act that authorizes the sharing of my information with XXXX 
Any records of my consent or authorization for this disclosure. 
I expect this account to be deleted from my report Immediately in 4 business days as stated in FCRA 605B ( 15 U.S.C. 1681c-2 ) in regard to identity theft! 
I have attached proof of identity."
Debt collection,Took or threatened to take negative or legal action,Threatened to sue you for very old debt,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"I understand the importance of removing any incorrect accounts from my credit report in accordance with FCRA 605B. Could you please take a look at the documents? I've observed that some of the listed accounts seem to be inaccurate, which is worrying to me."
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Debt collection,False statements or representation,Attempted to collect wrong amount,
Credit card,Fees or interest,Problem with fees,
Vehicle loan or lease,Problems at the end of the loan or lease,Problem with paying off the loan,"In XXXX of XXXX XXXX I purchased a XXXX XXXX XXXX the next day I went to Pick up the cand it was a XXXX XXXX XXXX XXXX  betold me The loan didn't get approved by XXXX bank, so they tried Another bank, And it was approved For the XXXX  I had Already put a down payment down For the XXXX and got the insurance while I was There how however what I got And? 
Saw the XXXX  and had my previous car Told XXXX because the downpayment Went from XXXX XXXX XXXX XXXX,, So I'm already stuck. I went along with everything. Got the car out of the XXXX  months. I missed for payments. However, the next month I doubled so I was all caught up. They did explain to me about latest which I pay. XXXX, the XXXX 2024 would be my last payment.Now they're saying I owe XXXX XXXX XXXX XXXX I checked my balance In. 
XXXX and I owed {$2400.00} now, all of XXXX XXXX XXXX, XXXX XXXX, I paid {$370.00} XXXX,, The amount hasn't changed.My daughter called yesterday and they took {$370.00}, XXXXfor XXXX,, out of the {$2400.00},, Like they're doing me a favor,,,, When my balance was {$2400.00} in XXXX,, I paid {$1800.00}, ,Total, ,until XXXX, XXXX 2024,,, Now they're saying the balance It's {$2000.00},,, Which Should only be {$530.00}. They're trying to convince me that the XXXX payments that were Missed is & XXXX. However, those months That were missed I doubled the next Month Payments,,, ,I paid the late fees and interest rate. So I'm trying to see why are they doing this to me Again?"
Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,
Debt collection,Communication tactics,"You told them to stop contacting you, but they keep trying",
"Payday loan, title loan, personal loan, or advance loan",Getting the loan,None,"Upon applying for {$1000.00} XXXX XXXX XXXX XXXX decided they would no longer take credit card or debit card payments when it came to the first payment. They are currently paying XXXX XXXX dollars to the FTC for this actual fact they did this. Now XXXX XXXX has sold this account to Jefferson Capital Systems LLC and is taking me to court on XX/XX/XXXX. I tried to settle out of court with them for {$300.00} dollars and they refused stating that they needed {$1000.00}. The overall debt was less than XXXX but because they loaded me up with late fees plus a fee for writing the debt off. I had at the time to cancel my bank accounts due to the identity theft. More than willing to show proof of Identity theft and since my ssn and everything else is compromised I am willing to show you whatever you want. XXXX XXXX sold my debt to them without my consent. Another company now has my information that had no permission to be given. I can't verify it is actually a debt of mine since it was so long ago. 

Meanwhile in XXXX I have experience Identity theft. I have filed a police report and everything. I am a XXXX veteran who served XXXX  years in the XXXX XXXX  XXXX XXXX. I was willing to pay for my original debt, but they refused payment. 

This isn't the first company that has sold my information and debts. I have always been willing to work with my actual debts but due to the misinformation that XXXX XXXX led me to believe I couldn't pay with credit card or debit card. I have attached the web page that shows this problem. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX"
"Payday loan, title loan, personal loan, or advance loan",Problem when making payments,None,
Debt collection,Written notification about debt,Didn't receive notice of right to dispute,
Debt collection,False statements or representation,Indicated you were committing crime by not paying debt,
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Credit card,"Other features, terms, or problems",Problem with rewards from credit card,
Debt collection,Attempts to collect debt not owed,Debt is not yours,"I am writing to formally dispute the debt listed below, which appears on my credit report and is being reported by your company. I believe this debt is inaccurate and/or unverified, and I am requesting a thorough investigation to resolve this matter. 
Debt Reference Number/Account Number : XXXX Original Creditor : Discover Bank Amount in Dispute : {$730.00} I have reviewed my credit report and have found this debt to be inaccurate or unverifiable for the following reasons : I do not recognized this account Under the Fair Debt Collection Practices Act ( FDCPA ) and the Fair Credit Reporting Act ( FCRA ), I am requesting that you : 1. Provide written validation of this debt, including the original signed agreement or documentation showing I owe this debt.

2. Investigate the validity of the claim and remove it from my credit report if it can not be verified.

3. Provide me with a written statement of your findings and the steps taken as a result of this dispute. 

If you can not verify this debt within the legally required timeframe, I request that you cease collection efforts and remove it from my credit report immediately. 

I look forward to your response within 30 days, as required by law. Please send all correspondence regarding this matter to my address above. 

Thank you for your attention to this matter."
Debt collection,False statements or representation,Attempted to collect wrong amount,
Debt collection,False statements or representation,Attempted to collect wrong amount,
Credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Credit card,Struggling to pay your bill,Credit card company won't work with you while you're going through financial hardship,"Request for XXXX XXXX and Account XXXX I am writing to express my concerns and request your understanding and assistance in resolving an ongoing financial hardship. Due to severe financial struggles over the past few months, I have been unable to maintain timely payments on my credit card accounts. I am currently unemployed, which has made it increasingly difficult to manage my debts. 

I previously sought the help of a debt settlement company to negotiate and settle my outstanding balances, which include an account with a balance of {$XXXX} and another with {$XXXX}. However, I encountered an issue where, despite my efforts to settle just XXXX of my accounts, all accounts under my name were closed due to the policies of the bank, as my power of attorney was not fully accepted. This situation has left me with no open accounts, despite XXXX of the cards being in the process of settlement."
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Credit card,Fees or interest,Problem with fees,"I had purchased furniture from XXXX XXXX home store with TD bank in summer oXXXX XXXX  and I was offered is 0 % interest if paid in full in 2 years. The store told me "" no hidden fees or extra fees '' but i was charged multiple fees including interest charge even if i made full payment in 6 months. Even if i brought up this issue they were not interested in resolving the issue and i ended up paying."
